ACMP|Access Midstream Partners LP|Common Stock|NYSE|Energy|"Oil, Gas & Coal"|55.99|35.9|59.19|"11,264"|37.4|3.97%|2/21/14
ADBE|Adobe Systems Inc|Common Stock|NASDAQ|Technology|Software|68.48|38.09|69.43|"33,878"|117.2|0|2/19/14
AZO|AutoZone Inc|Common Stock|NYSE|Consumer Discretionary|Retail Discretionary|538.59|369.79|561.62|"18,168"|18.7|0|2/18/14
EAT|Brinker International Inc|Common Stock|NYSE|Consumer Discretionary|"Travel, Lodging & Dining"|50.96|31.6|51.64|"3,462"|20.6|1.86%|2/20/14
CBM|Cambrex Corp|Common Stock|NYSE|Health Care|Biotech & Pharma|22.18|11.39|22.34|664|25|0|2/19/14
CFN|CareFusion Corp|Common Stock|NYSE|Health Care|Medical Equipment/Devices|41.63|31.51|41.98|"8,560"|20.9|0|2/21/14
CBOE|CBOE Holdings Inc|Common Stock|NASDAQ|Financials|Institutional Financial Srvc|54.69|34.39|57.26|"4,685"|27.1|1.33%|2/19/14
CMG|Chipotle Mexican Grill Inc|Common Stock|NYSE|Consumer Discretionary|"Travel, Lodging & Dining"|550.28|309.02|568.9|"17,047"|52.3|0|2/18/14
CLRO|ClearOne Inc|Common Stock|NASDAQ|Technology|Hardware|9.23|6.32|9.81|84|18.8|0|2/19/14
BCR|CR Bard Inc|Common Stock|NYSE|Health Care|Medical Equipment/Devices|140.3|97.14|142.24|"10,983"|25.8|0.59%|2/21/14
DNKN|Dunkin' Brands Group Inc|Common Stock|NASDAQ|Consumer Discretionary|"Travel, Lodging & Dining"|50.51|36.29|50.8|"5,323"|35.1|1.84%|2/19/14
DAVE|Famous Dave's of America Inc|Common Stock|NASDAQ|Consumer Discretionary|"Travel, Lodging & Dining"|25.83|9.47|26.95|190|34.5|0|2/20/14
GCI|Gannett Co Inc|Common Stock|NYSE|Communications|Media Content|28.76|18.89|30.43|"6,572"|14|2.77%|2/20/14
GILD|Gilead Sciences Inc|Common Stock|NASDAQ|Health Care|Biotech & Pharma|82.81|41.69|84.4|"126,727"|43.8|0|2/19/14
GHC|Graham Holdings Co|Common Stock|NYSE|Consumer Discretionary|Consumer Discretionary Srvcs|675.59|388.12|686.5|"5,054"|23.5|1.49%|2/20/14
HAL|Halliburton Co|Common Stock|NYSE|Energy|"Oil, Gas & Coal"|55.38|36.77|56.52|"47,053"|17.7|1.09%|2/19/14
LMT|Lockheed Martin Corp|Common Stock|NYSE|Industrials|Aerospace & Defense|164.27|85.91|165.89|"52,821"|15.3|3.24%|2/19/14
LOW|Lowe's Cos Inc|Common Stock|NYSE|Consumer Discretionary|Retail Discretionary|46.66|35.86|52.08|"49,217"|22.4|1.53%|2/18/14
MCK|McKesson Corp|Common Stock|NYSE|Health Care|Health Care Facilities/Srvcs|177.58|102.12|179.4|"40,583"|24.9|0.54%|2/18/14
MEOH|Methanex Corp|Common Stock|NASDAQ|Materials|Chemicals|64.3|34.87|65.16|"6,229"|16.9|1.23%|2/19/14
NGS|Natural Gas Services Group Inc|Common Stock|NYSE|Energy|"Oil, Gas & Coal"|33.06|16.73|33.87|395|26.7|0|2/18/14
PFE|Pfizer Inc|Common Stock|NYSE|Health Care|Biotech & Pharma|31.55|26.82|32.5|"203,894"|14|3.30%|2/19/14
PCYO|Pure Cycle Corp|Common Stock|NASDAQ|Utilities|Utilities|6.38|3.53|7.32|155|-|0|2/20/14
RUK|Reed Elsevier PLC|ADR|NYSE|Communications|Media Content|61.2|41.44|62.04|"17,692"|-|1.35%|2/21/14
SWY|Safeway Inc|Common Stock|NYSE|Consumer Staples|Retail Staples|35.32|22.26|37.7|"8,889"|32|2.17%|2/20/14
SNN|Smith & Nephew PLC|ADR|NYSE|Health Care|Medical Equipment/Devices|80.18|52.52|80.25|"14,154"|-|2.14%|2/18/14
SBSI|Southside Bancshares Inc|Common Stock|NASDAQ|Financials|Banking|29.11|19.79|29.78|520|13.5|2.89%|2/21/14
SWFT|Swift Transportation Co|Common Stock|NYSE|Industrials|Transportation & Logistics|24.3|12.58|24.62|"3,415"|26.2|0|2/21/14
TDY|Teledyne Technologies Inc|Common Stock|NYSE|Industrials|Aerospace & Defense|95.18|70.84|96.94|"3,630"|20.5|0|2/21/14
TPL|Texas Pacific Land Trust|Common Stock|NYSE|Financials|Real Estate Oper & Srvcs|132.13|54.31|133.63|"1,140"|42.2|0.20%|2/19/14
XYL|Xylem Inc/NY|Common Stock|NYSE|Industrials|Machinery|38.71|23.61|39.07|"7,169"|23.9|1.32%|2/21/14